name,p_female,p_male,weight,culture,source
abdon,0.0,1.0,1.0,european_other,firstname-db
abdorassoul,0.0,1.0,1.0,arab,firstname-db
abdou,0.0,1.0,1.0,arab,firstname-db
abdoul,0.0,1.0,1.0,arab,firstname-db
abdu,0.0,1.0,1.0,arab,firstname-db
abduh,0.0,1.0,1.0,arab,firstname-db
abdul,0.0,1.0,1.0,arab,firstname-db
abdulah,0.0,1.0,1.0,slavic,firstname-db
abdulahad,0.0,1.0,1.0,arab,firstname-db
abdulazim,0.0,1.0,1.0,arab,firstname-db
abdulaziz,0.0,1.0,1.0,arab,firstname-db
abdulbagi,0.0,1.0,1.0,arab,firstname-db
abdulbaki,0.0,1.0,1.0,arab,firstname-db
abdulbasit,0.0,1.0,1.0,arab,firstname-db
abdulcabbar,0.0,1.0,1.0,arab,firstname-db
abdulghani,0.0,1.0,1.0,arab,firstname-db
abdulhadi,0.0,1.0,1.0,arab,firstname-db
abdulhafiz,0.0,1.0,1.0,arab,firstname-db
abdulhakim,0.0,1.0,1.0,arab,firstname-db
abdulhalim,0.0,1.0,1.0,arab,firstname-db
abdulhamid,0.0,1.0,1.0,arab,firstname-db
abdulhaq,0.0,1.0,1.0,arab,firstname-db
abdulilah,0.0,1.0,1.0,arab,firstname-db
abduljabbar,0.0,1.0,1.0,arab,firstname-db
abdulkader,0.0,1.0,1.0,slavic,firstname-db
abdulkadir,0.0,1.0,1.0,arab,firstname-db
abdulkadyr,0.0,1.0,1.0,arab,firstname-db
abdulkareem,0.0,1.0,1.0,arab,firstname-db
abdulkarim,0.0,1.0,1.0,arab,firstname-db
abdulkerim,0.0,1.0,1.0,arab,firstname-db
abdulkhaliq,0.0,1.0,1.0,arab,firstname-db
abdulla,0.0,1.0,1.0,arab,firstname-db
abdullah,0.0,1.0,1.0,slavic,firstname-db
abdullatif,0.0,1.0,1.0,arab,firstname-db
abdulmajeed,0.0,1.0,1.0,arab,firstname-db
abdulmalik,0.0,1.0,1.0,slavic,firstname-db
abdulmedjit,0.0,1.0,1.0,arab,firstname-db
abdulqadeer,0.0,1.0,1.0,arab,firstname-db
abdulqader,0.0,1.0,1.0,arab,firstname-db
abdulrahman,0.0,1.0,1.0,arab,firstname-db
abdulrazzak,0.0,1.0,1.0,arab,firstname-db
abdulreza,0.0,1.0,1.0,arab,firstname-db
abdulsalam,0.0,1.0,1.0,arab,firstname-db
abdulsamet,0.0,1.0,1.0,arab,firstname-db
abdulsattar,0.0,1.0,1.0,arab,firstname-db
abdulwahab,0.0,1.0,1.0,arab,firstname-db
abdurahman,0.0,1.0,1.0,slavic,firstname-db
abdurrahim,0.0,1.0,1.0,arab,firstname-db
abdurrahman,0.0,1.0,1.0,slavic,firstname-db
abdyl,0.0,1.0,1.0,slavic,firstname-db
abdülhalim,0.0,1.0,1.0,arab,firstname-db
abdülhamid,0.0,1.0,1.0,arab,firstname-db
abdülkadir,0.0,1.0,1.0,arab,firstname-db
abdülkerim,0.0,1.0,1.0,arab,firstname-db
abdüllatif,0.0,1.0,1.0,arab,firstname-db
abdülsamet,0.0,1.0,1.0,arab,firstname-db
abe,0.0,1.0,1.0,western,firstname-db
abed,0.0,1.0,1.0,arab,firstname-db
abeda,1.0,0.0,1.0,arab,firstname-db
abedin,0.0,1.0,1.0,slavic,firstname-db
abeer,1.0,0.0,1.0,arab,firstname-db
abel,0.0,1.0,1.0,european_other,firstname-db
abelardo,0.0,1.0,1.0,european_other,firstname-db
abele,0.0,1.0,1.0,european_other,firstname-db
abelia,1.0,0.0,1.0,european_other,firstname-db
abeline,1.0,0.0,1.0,european_other,firstname-db
abelio,0.0,1.0,1.0,european_other,firstname-db
abelius,0.0,1.0,1.0,european_other,firstname-db
abelle,1.0,0.0,1.0,european_other,firstname-db
abha,1.0,0.0,1.0,south_asian,firstname-db
abhay,0.0,1.0,1.0,south_asian,firstname-db
abhilasha,1.0,0.0,1.0,south_asian,firstname-db
abhishek,0.0,1.0,0.6,other,faimr-seed
abid,0.0,1.0,1.0,slavic,firstname-db
abida,1.0,0.0,1.0,slavic,firstname-db
abidin,0.0,1.0,1.0,arab,firstname-db
abigail,1.0,0.0,1.6,western,firstname-db+faimr-seed
abigale,1.0,0.0,1.0,western,firstname-db
abigayle,1.0,0.0,1.0,western,firstname-db
abigaël,1.0,0.0,1.0,european_other,firstname-db
abigaëlle,1.0,0.0,1.0,european_other,firstname-db
abilia,1.0,0.0,1.0,european_other,firstname-db
abilio,0.0,1.0,1.0,european_other,firstname-db
abir,1.0,0.0,1.0,arab,firstname-db
abla,1.0,0.0,1.0,arab,firstname-db
ablah,1.0,0.0,1.0,arab,firstname-db
abner,0.0,1.0,1.0,western,firstname-db
abraham,0.0,1.0,1.0,european_other,firstname-db
abram,0.0,1.0,1.0,western,firstname-db
abramina,1.0,0.0,1.0,european_other,firstname-db
abramo,0.0,1.0,1.0,european_other,firstname-db
abrar,0.0,1.0,1.0,arab,firstname-db
abraão,0.0,1.0,1.0,european_other,firstname-db
abrytha,1.0,0.0,1.0,western,firstname-db
abu,0.0,1.0,1.0,arab,firstname-db
abubakr,0.0,1.0,1.0,arab,firstname-db
abubekir,0.0,1.0,1.0,arab,firstname-db
abuzar,0.0,1.0,1.0,arab,firstname-db
abuzer,0.0,1.0,1.0,arab,firstname-db
aby,1.0,0.0,1.0,european_other,firstname-db
abygaël,1.0,0.0,1.0,european_other,firstname-db
abygaëlle,1.0,0.0,1.0,european_other,firstname-db
abília,1.0,0.0,1.0,european_other,firstname-db
abílio,0.0,1.0,1.0,european_other,firstname-db
aca,0.0,1.0,1.0,slavic,firstname-db
acacio,0.0,1.0,1.0,european_other,firstname-db
accursia,1.0,0.0,1.0,european_other,firstname-db
accursio,0.0,1.0,1.0,european_other,firstname-db
achaz,0.0,1.0,1.0,european_other,firstname-db
achicam,0.0,1.0,1.0,arab,firstname-db
achikam,0.0,1.0,1.0,arab,firstname-db
achilina,1.0,0.0,1.0,european_other,firstname-db
achille,0.0,1.0,1.0,european_other,firstname-db
achilleas,0.0,1.0,1.0,european_other,firstname-db
achillefs,0.0,1.0,1.0,european_other,firstname-db
achim,0.0,1.0,1.0,european_other,firstname-db
achiropita,1.0,0.0,1.0,european_other,firstname-db
achraf,0.0,1.0,1.0,arab,firstname-db
acilino,0.0,1.0,1.0,european_other,firstname-db
acim,0.0,1.0,1.0,slavic,firstname-db
acke,0.0,1.0,1.0,european_other,firstname-db
acko,0.0,1.0,1.0,slavic,firstname-db
aco,0.0,1.0,1.0,slavic,firstname-db
aculina,1.0,0.0,1.0,slavic,firstname-db
acácio,0.0,1.0,1.0,european_other,firstname-db
acúrcio,0.0,1.0,1.0,european_other,firstname-db
ad,0.0,1.0,1.0,european_other,firstname-db
ada,1.0,0.0,1.0,european_other,firstname-db
adair,0.25,0.75,0.7,western,firstname-db
adakras,0.0,1.0,1.0,european_other,firstname-db
adalbert,0.0,1.0,1.0,european_other,firstname-db
adalberta,1.0,0.0,1.0,european_other,firstname-db
adalberto,0.0,1.0,1.0,european_other,firstname-db
adalciza,1.0,0.0,1.0,european_other,firstname-db
adalet,1.0,0.0,1.0,arab,firstname-db
adalgira,1.0,0.0,1.0,european_other,firstname-db
adalgisa,1.0,0.0,1.0,european_other,firstname-db
adalgiso,0.0,1.0,1.0,european_other,firstname-db
adalmiina,1.0,0.0,1.0,european_other,firstname-db
adam,0.0,1.0,1.6,european_other,firstname-db+faimr-seed
adama,0.6912,0.3088,0.85,european_other,firstname-db
adamantia,1.0,0.0,1.0,european_other,firstname-db
adamantini,1.0,0.0,1.0,european_other,firstname-db
adamantios,0.0,1.0,1.0,european_other,firstname-db
adamira,1.0,0.0,1.0,slavic,firstname-db
adamo,0.0,1.0,1.0,european_other,firstname-db
adan,0.0,1.0,1.0,western,firstname-db
adaniel,0.0,1.0,1.0,european_other,firstname-db
adar,0.0,1.0,1.0,arab,firstname-db
adarsh,0.5,0.5,0.5,south_asian,firstname-db
adda,0.8333,0.1667,0.75,european_other,firstname-db
addi,1.0,0.0,1.0,european_other,firstname-db
addie,0.8333,0.1667,0.75,western,firstname-db
addison,0.5,0.5,0.5,western,firstname-db
addolorata,1.0,0.0,1.0,european_other,firstname-db
addolorato,0.0,1.0,1.0,european_other,firstname-db
addy,0.5,0.5,0.8333,european_other,firstname-db
ade,1.0,0.0,1.0,european_other,firstname-db
adea,1.0,0.0,1.0,slavic,firstname-db
adeele,1.0,0.0,1.0,european_other,firstname-db
adel,0.1029,0.8971,0.85,arab,firstname-db
adela,1.0,0.0,1.0,european_other,firstname-db
adelaida,1.0,0.0,1.0,european_other,firstname-db
adelaide,1.0,0.0,1.0,european_other,firstname-db
adelaido,0.0,1.0,1.0,european_other,firstname-db
adelajde,1.0,0.0,1.0,slavic,firstname-db
adelaïde,1.0,0.0,1.0,european_other,firstname-db
adelbert,0.0,1.0,1.0,european_other,firstname-db
adelchi,0.0,1.0,1.0,european_other,firstname-db
adele,1.0,0.0,1.0,european_other,firstname-db
adelfa,1.0,0.0,1.0,european_other,firstname-db
adelfo,0.0,1.0,1.0,european_other,firstname-db
adelfried,0.0,1.0,1.0,european_other,firstname-db
adelgund,1.0,0.0,1.0,european_other,firstname-db
adelgunde,1.0,0.0,1.0,european_other,firstname-db
adelhard,0.0,1.0,1.0,european_other,firstname-db
adelheid,1.0,0.0,1.0,european_other,firstname-db
adelheide,1.0,0.0,1.0,european_other,firstname-db
adelia,1.0,0.0,1.0,european_other,firstname-db
adelin,0.0,1.0,1.0,european_other,firstname-db
adelina,1.0,0.0,1.0,european_other,firstname-db
adelinda,1.0,0.0,1.0,european_other,firstname-db
adelinde,1.0,0.0,1.0,european_other,firstname-db
adelindo,0.0,1.0,1.0,european_other,firstname-db
adeline,1.0,0.0,1.0,european_other,firstname-db
adelino,0.0,1.0,1.0,european_other,firstname-db
adelio,0.0,1.0,1.0,european_other,firstname-db
adelisa,1.0,0.0,1.0,european_other,firstname-db
adeliya,1.0,0.0,1.0,arab,firstname-db
adell,0.5,0.5,1.0,western,firstname-db
adella,1.0,0.0,1.0,western,firstname-db
adelle,1.0,0.0,1.0,western,firstname-db
adelma,1.0,0.0,1.0,european_other,firstname-db
adelmar,0.0,1.0,1.0,european_other,firstname-db
adelmina,1.0,0.0,1.0,european_other,firstname-db
adelmino,0.0,1.0,1.0,european_other,firstname-db
adelmira,1.0,0.0,1.0,european_other,firstname-db
adelmo,0.0,1.0,1.0,european_other,firstname-db
adelo,0.0,1.0,1.0,european_other,firstname-db
adelphine,1.0,0.0,1.0,european_other,firstname-db
adeltraud,1.0,0.0,1.0,european_other,firstname-db
adeltraut,1.0,0.0,1.0,european_other,firstname-db
adeluţa,1.0,0.0,1.0,european_other,firstname-db
adelya,1.0,0.0,1.0,arab,firstname-db
adelyne,1.0,0.0,1.0,european_other,firstname-db
adelė,1.0,0.0,1.0,european_other,firstname-db
adem,0.0,1.0,1.0,slavic,firstname-db
ademar,0.0,1.0,1.0,european_other,firstname-db
ademara,1.0,0.0,1.0,european_other,firstname-db
ademaro,0.0,1.0,1.0,european_other,firstname-db
aden,0.0,1.0,1.0,western,firstname-db
adeodata,1.0,0.0,1.0,european_other,firstname-db
adeodato,0.0,1.0,1.0,european_other,firstname-db
aderita,1.0,0.0,1.0,european_other,firstname-db
aderito,0.0,1.0,1.0,european_other,firstname-db
adham,0.0,1.0,1.0,arab,firstname-db
adhurim,0.0,1.0,1.0,slavic,firstname-db
adhémar,0.0,1.0,1.0,european_other,firstname-db
adi,0.5,0.5,1.0,arab,firstname-db
adib,0.0,1.0,1.0,arab,firstname-db
adiba,1.0,0.0,1.0,arab,firstname-db
adil,0.0,1.0,1.0,arab,firstname-db
adila,1.0,0.0,1.0,arab,firstname-db
adilbek,0.0,1.0,1.0,arab,firstname-db
adile,1.0,0.0,1.0,arab,firstname-db
adilia,1.0,0.0,1.0,european_other,firstname-db
adilkhan,0.0,1.0,1.0,arab,firstname-db
adin,0.0,1.0,1.0,european_other,firstname-db
adina,1.0,0.0,1.0,european_other,firstname-db
adinda,1.0,0.0,1.0,european_other,firstname-db
adine,1.0,0.0,1.0,european_other,firstname-db
adinel,0.0,1.0,1.0,european_other,firstname-db
adino,0.0,1.0,1.0,european_other,firstname-db
adir,0.0,1.0,1.0,arab,firstname-db
adis,0.0,1.0,1.0,slavic,firstname-db
adisa,1.0,0.0,1.0,slavic,firstname-db
aditi,1.0,0.0,1.0,south_asian,firstname-db
aditya,0.0,1.0,1.6,south_asian,firstname-db+faimr-seed
adiya,1.0,0.0,1.0,arab,firstname-db
adje,1.0,0.0,1.0,european_other,firstname-db
adjuto,0.0,1.0,1.0,european_other,firstname-db
admeto,0.0,1.0,1.0,european_other,firstname-db
admir,0.0,1.0,1.0,slavic,firstname-db
admira,1.0,0.0,1.0,slavic,firstname-db
admirim,0.0,1.0,1.0,slavic,firstname-db
adnan,0.0,1.0,1.0,slavic,firstname-db
adnana,1.0,0.0,1.0,arab,firstname-db
adnand,0.0,1.0,1.0,slavic,firstname-db
ado,0.0,1.0,1.0,european_other,firstname-db
adolf,0.0,1.0,1.0,european_other,firstname-db
adolfa,1.0,0.0,1.0,european_other,firstname-db
adolfas,0.0,1.0,1.0,european_other,firstname-db
adolfina,1.0,0.0,1.0,european_other,firstname-db
adolfine,1.0,0.0,1.0,european_other,firstname-db
adolfo,0.0,1.0,1.0,european_other,firstname-db
adolina,1.0,0.0,1.0,european_other,firstname-db
adolph,0.0,1.0,1.0,western,firstname-db
adolphe,0.0,1.0,1.0,european_other,firstname-db
adolphine,1.0,0.0,1.0,european_other,firstname-db
adolphus,0.0,1.0,1.0,western,firstname-db
adomas,0.0,1.0,1.0,european_other,firstname-db
adone,0.0,1.0,1.0,european_other,firstname-db
adonis,0.0,1.0,1.0,western,firstname-db
adoración,1.0,0.0,1.0,european_other,firstname-db
adoram,0.0,1.0,1.0,arab,firstname-db
adorata,1.0,0.0,1.0,european_other,firstname-db
adorján,0.0,1.0,1.0,european_other,firstname-db
adorna,1.0,0.0,1.0,european_other,firstname-db
adorno,0.0,1.0,1.0,european_other,firstname-db
adosinda,1.0,0.0,1.0,european_other,firstname-db
adosinha,1.0,0.0,1.0,european_other,firstname-db
adrasto,0.0,1.0,1.0,european_other,firstname-db
adri,0.5,0.5,0.5,european_other,firstname-db
adria,1.0,0.0,1.0,western,firstname-db
adriaan,0.0,1.0,1.0,european_other,firstname-db
adrian,0.1029,0.8971,0.85,european_other,firstname-db
adriana,1.0,0.0,1.0,european_other,firstname-db
adriane,1.0,0.0,1.0,european_other,firstname-db
adrianna,1.0,0.0,1.0,western,firstname-db
adrianne,1.0,0.0,1.0,western,firstname-db
adriano,0.0,1.0,1.0,european_other,firstname-db
adrianus,0.0,1.0,1.0,european_other,firstname-db
adriatik,0.0,1.0,1.0,slavic,firstname-db
adrie,0.5,0.5,0.5,european_other,firstname-db
adrien,0.0,1.0,1.0,european_other,firstname-db
adriena,1.0,0.0,1.0,european_other,firstname-db
adrienn,1.0,0.0,1.0,european_other,firstname-db
adrienne,1.0,0.0,1.0,european_other,firstname-db
adrijan,0.0,1.0,1.0,slavic,firstname-db
adrijana,1.0,0.0,1.0,slavic,firstname-db
adrio,0.0,1.0,1.0,european_other,firstname-db
adrián,0.0,1.0,1.0,european_other,firstname-db
adrião,0.0,1.0,1.0,european_other,firstname-db
adriëlle,1.0,0.0,1.0,european_other,firstname-db
adriënne,1.0,0.0,1.0,european_other,firstname-db
adriāns,0.0,1.0,1.0,european_other,firstname-db
adua,1.0,0.0,1.0,european_other,firstname-db
aduo,0.0,1.0,1.0,european_other,firstname-db
advija,0.0,1.0,1.0,slavic,firstname-db
ady,0.75,0.25,0.7,arab,firstname-db
adán,0.0,1.0,1.0,european_other,firstname-db
adão,0.0,1.0,1.0,european_other,firstname-db
adèle,1.0,0.0,1.0,european_other,firstname-db
adéla,1.0,0.0,1.0,european_other,firstname-db
adélaïde,1.0,0.0,1.0,european_other,firstname-db
adéle,1.0,0.0,1.0,european_other,firstname-db
adélia,1.0,0.0,1.0,european_other,firstname-db
adélie,1.0,0.0,1.0,european_other,firstname-db
adélio,0.0,1.0,1.0,european_other,firstname-db
adérito,0.0,1.0,1.0,european_other,firstname-db
adília,1.0,0.0,1.0,european_other,firstname-db
ae,0.5,0.5,0.5,east_asian,firstname-db
aedal,1.0,0.0,1.0,arab,firstname-db
aedin,0.0,1.0,1.0,western,firstname-db
aeihso,0.0,1.0,1.0,european_other,firstname-db
aeilt,0.0,1.0,1.0,european_other,firstname-db
aelbert,0.0,1.0,1.0,european_other,firstname-db
aelita,1.0,0.0,1.0,arab,firstname-db
aeneas,0.0,1.0,1.0,european_other,firstname-db
aengus,0.0,1.0,1.0,western,firstname-db
aenne,1.0,0.0,1.0,european_other,firstname-db
aerend,0.0,1.0,1.0,european_other,firstname-db
aernout,0.0,1.0,1.0,european_other,firstname-db
aeron,1.0,0.0,1.0,western,firstname-db
aeronwen,1.0,0.0,1.0,western,firstname-db
aeronwy,1.0,0.0,1.0,western,firstname-db
aert,0.0,1.0,1.0,european_other,firstname-db
aeyoung,1.0,0.0,1.0,east_asian,firstname-db
afa,1.0,0.0,1.0,arab,firstname-db
afaf,1.0,0.0,1.0,arab,firstname-db
afag,1.0,0.0,1.0,arab,firstname-db
afanasie,0.0,1.0,1.0,slavic,firstname-db
afanasii,0.0,1.0,1.0,slavic,firstname-db
afanasijs,0.0,1.0,1.0,european_other,firstname-db
afaq,1.0,0.0,1.0,arab,firstname-db
afat,0.75,0.25,0.7,arab,firstname-db
afelien,1.0,0.0,1.0,european_other,firstname-db
aferdita,1.0,0.0,1.0,slavic,firstname-db
afet,1.0,0.0,1.0,arab,firstname-db
affie,1.0,0.0,1.0,european_other,firstname-db
afgan,0.0,1.0,1.0,arab,firstname-db
afia,1.0,0.0,1.0,arab,firstname-db
afie,1.0,0.0,1.0,european_other,firstname-db
afif,0.0,1.0,1.0,arab,firstname-db
afifa,1.0,0.0,1.0,arab,firstname-db
afifah,1.0,0.0,1.0,arab,firstname-db
afiya,1.0,0.0,1.0,arab,firstname-db
afke,0.75,0.25,0.7,european_other,firstname-db
afonso,0.0,1.0,1.0,european_other,firstname-db
afra,1.0,0.0,1.0,european_other,firstname-db
afrim,0.0,1.0,1.0,slavic,firstname-db
afro,0.0,1.0,1.0,european_other,firstname-db
afrodita,1.0,0.0,1.0,european_other,firstname-db
afroditi,1.0,0.0,1.0,european_other,firstname-db
afsaneh,1.0,0.0,1.0,arab,firstname-db
afsar,1.0,0.0,1.0,arab,firstname-db
afschin,0.0,1.0,1.0,arab,firstname-db
afshin,0.0,1.0,1.0,arab,firstname-db
aftab,0.0,1.0,1.0,arab,firstname-db
aftandil,0.0,1.0,1.0,arab,firstname-db
aftina,1.0,0.0,1.0,european_other,firstname-db
aftinia,1.0,0.0,1.0,european_other,firstname-db
afzal,0.0,1.0,1.0,arab,firstname-db
afërdita,1.0,0.0,1.0,slavic,firstname-db
afşar,0.0,1.0,1.0,arab,firstname-db
aga,1.0,0.0,1.0,european_other,firstname-db
agaat,1.0,0.0,1.0,european_other,firstname-db
agaath,1.0,0.0,1.0,european_other,firstname-db
agafia,1.0,0.0,1.0,european_other,firstname-db
agah,0.0,1.0,1.0,arab,firstname-db
agan,0.0,1.0,1.0,slavic,firstname-db
agapi,1.0,0.0,1.0,european_other,firstname-db
agapia,1.0,0.0,1.0,european_other,firstname-db
agapios,0.0,1.0,1.0,european_other,firstname-db
agapita,1.0,0.0,1.0,european_other,firstname-db
agapito,0.0,1.0,1.0,european_other,firstname-db
agata,1.0,0.0,1.0,european_other,firstname-db
agate,1.0,0.0,1.0,european_other,firstname-db
agatha,1.0,0.0,1.0,european_other,firstname-db
agathe,1.0,0.0,1.0,european_other,firstname-db
agathi,1.0,0.0,1.0,european_other,firstname-db
agatho,0.0,1.0,1.0,european_other,firstname-db
agatia,1.0,0.0,1.0,european_other,firstname-db
agatina,1.0,0.0,1.0,european_other,firstname-db
agatino,0.0,1.0,1.0,european_other,firstname-db
agazio,0.0,1.0,1.0,european_other,firstname-db
agda,1.0,0.0,1.0,european_other,firstname-db
age,0.0,1.0,1.0,european_other,firstname-db
ageet,1.0,0.0,1.0,european_other,firstname-db
ageeth,1.0,0.0,1.0,european_other,firstname-db
agenore,0.0,1.0,1.0,european_other,firstname-db
ager,0.0,1.0,1.0,european_other,firstname-db
agesilao,0.0,1.0,1.0,european_other,firstname-db
agetina,1.0,0.0,1.0,slavic,firstname-db
agge,0.0,1.0,1.0,european_other,firstname-db
aggeo,0.0,1.0,1.0,european_other,firstname-db
aggie,1.0,0.0,1.0,western,firstname-db
agha,0.0,1.0,1.0,arab,firstname-db
aghasi,0.0,1.0,1.0,arab,firstname-db
aghavni,1.0,0.0,1.0,arab,firstname-db
aghvan,0.0,1.0,1.0,arab,firstname-db
agide,0.0,1.0,1.0,european_other,firstname-db
agil,0.0,1.0,1.0,arab,firstname-db
agilbert,0.0,1.0,1.0,european_other,firstname-db
agilmar,0.0,1.0,1.0,european_other,firstname-db
agim,0.0,1.0,1.0,slavic,firstname-db
agis,0.0,1.0,1.0,european_other,firstname-db
agisilaos,0.0,1.0,1.0,european_other,firstname-db
agita,1.0,0.0,1.0,european_other,firstname-db
agla,1.0,0.0,1.0,european_other,firstname-db
aglaea,1.0,0.0,1.0,european_other,firstname-db
aglaia,1.0,0.0,1.0,european_other,firstname-db
aglaja,1.0,0.0,1.0,arab,firstname-db
aglaya,1.0,0.0,1.0,arab,firstname-db
aglaé,1.0,0.0,1.0,european_other,firstname-db
aglaée,1.0,0.0,1.0,european_other,firstname-db
agle,1.0,0.0,1.0,european_other,firstname-db
agna,1.0,0.0,1.0,european_other,firstname-db
agnar,0.0,1.0,1.0,european_other,firstname-db
agne,0.5,0.5,1.0,european_other,firstname-db
agnela,1.0,0.0,1.0,european_other,firstname-db
agnella,1.0,0.0,1.0,european_other,firstname-db
agnello,0.0,1.0,1.0,european_other,firstname-db
agnelo,0.0,1.0,1.0,european_other,firstname-db
agner,0.0,1.0,1.0,european_other,firstname-db
agnes,1.0,0.0,1.0,european_other,firstname-db
agnesa,1.0,0.0,1.0,european_other,firstname-db
